Device,V_in,I_in,T-IR,Kelvin,I_meter,I_diode,R_diode,R_in,P total
1n4148-1,-032.100E+0,-003.217E-6,17.5000000,290.6500000,-003.210E-6,-007.000E-9,004.586E+9,009.978E+6,103.266E-6
1n4148-1,-025.170E+0,-002.512E-6,17.9000000,291.0500000,-002.517E-6,005.000E-9,-005.034E+9,010.020E+6,063.227E-6
1n4148-1,-019.992E+0,-002.018E-6,17.6000000,290.7500000,-001.999E-6,-018.800E-9,001.063E+9,009.907E+6,040.344E-6
1n4148-1,-019.947E+0,-001.960E-6,18.1000000,291.2500000,-001.995E-6,034.700E-9,-574.841E+6,010.177E+6,039.096E-6
1n4148-1,-015.126E+0,-001.504E-6,18.0000000,291.1500000,-001.513E-6,008.600E-9,-001.759E+9,010.057E+6,022.750E-6
1n4148-1,-010.111E+0,-001.001E-6,18.1000000,291.2500000,-001.011E-6,010.100E-9,-001.001E+9,010.101E+6,010.121E-6
1n4148-1,-004.996E+0,-500.000E-9,18.3000000,291.4500000,-499.600E-9,-400.000E-12,012.490E+9,009.992E+6,002.498E-6
1n4148-1,-001.984E+0,-190.000E-9,17.8000000,290.9500000,-198.390E-9,008.390E-9,-236.460E+6,010.442E+6,376.941E-9
1n4148-1,094.200E-3,022.000E-9,18.0000000,291.1500000,009.420E-9,012.580E-9,007.488E+6,004.282E+6,002.072E-9
1n4148-1,104.000E-3,023.000E-9,18.0000000,291.1500000,010.400E-9,012.600E-9,008.254E+6,004.522E+6,002.392E-9
1n4148-1,144.900E-3,050.000E-9,18.1000000,291.2500000,014.490E-9,035.510E-9,004.081E+6,002.898E+6,007.245E-9
1n4148-1,195.550E-3,131.000E-9,18.1000000,291.2500000,019.555E-9,111.445E-9,001.755E+6,001.493E+6,025.617E-9
1n4148-1,245.900E-3,335.000E-9,17.6000000,290.7500000,024.590E-9,310.410E-9,792.178E+3,734.030E+3,082.377E-9
1n4148-1,276.000E-3,617.000E-9,17.8000000,290.9500000,027.600E-9,589.400E-9,468.273E+3,447.326E+3,170.292E-9
1n4148-1,305.700E-3,001.100E-6,17.9000000,291.0500000,030.570E-9,001.069E-6,285.853E+3,277.909E+3,336.270E-9
1n4148-1,335.200E-3,002.084E-6,18.0000000,291.1500000,033.520E-9,002.050E-6,163.474E+3,160.845E+3,698.557E-9
1n4148-1,373.200E-3,004.400E-6,17.8000000,290.9500000,037.320E-9,004.363E-6,085.544E+3,084.818E+3,001.642E-6
1n4148-1,400.100E-3,007.800E-6,17.8000000,290.9500000,040.010E-9,007.760E-6,051.559E+3,051.295E+3,003.121E-6
1n4148-1,425.000E-3,013.100E-6,18.0000000,291.1500000,042.500E-9,013.058E-6,032.548E+3,032.443E+3,005.568E-6
1n4148-1,447.200E-3,021.066E-6,17.9000000,291.0500000,044.720E-9,021.021E-6,021.274E+3,021.229E+3,009.421E-6
1n4148-1,466.300E-3,031.005E-6,17.9000000,291.0500000,046.630E-9,030.958E-6,015.062E+3,015.040E+3,014.458E-6
1n4148-1,487.100E-3,051.182E-6,18.1000000,291.2500000,048.710E-9,051.133E-6,009.526E+3,009.517E+3,024.931E-6
1n4148-1,495.700E-3,062.462E-6,18.3000000,291.4500000,049.570E-9,062.412E-6,007.942E+3,007.936E+3,030.962E-6
1n4148-1,503.400E-3,074.465E-6,18.2000000,291.3500000,050.340E-9,074.415E-6,006.765E+3,006.760E+3,037.486E-6
1n4148-1,510.400E-3,087.130E-6,18.3000000,291.4500000,051.040E-9,087.079E-6,005.861E+3,005.858E+3,044.471E-6
1n4148-1,516.900E-3,100.400E-6,18.3000000,291.4500000,051.690E-9,100.348E-6,005.151E+3,005.148E+3,051.897E-6
1n4148-1,525.500E-3,121.455E-6,17.7000000,290.8500000,052.550E-9,121.402E-6,004.329E+3,004.327E+3,063.825E-6
1n4148-1,533.200E-3,143.414E-6,17.8000000,290.9500000,053.320E-9,143.361E-6,003.719E+3,003.718E+3,076.468E-6
1n4148-1,542.000E-3,174.310E-6,17.9000000,291.0500000,054.200E-9,174.256E-6,003.110E+3,003.109E+3,094.476E-6
1n4148-1,561.800E-3,270.800E-6,18.0000000,291.1500000,056.180E-9,270.744E-6,002.075E+3,002.075E+3,152.135E-6
1n4148-1,573.600E-3,350.670E-6,17.9000000,291.0500000,057.360E-9,350.613E-6,001.636E+3,001.636E+3,201.144E-6
1n4148-1,578.900E-3,395.240E-6,17.9000000,291.0500000,057.890E-9,395.182E-6,001.465E+3,001.465E+3,228.804E-6
1n4148-1,584.100E-3,442.180E-6,17.7000000,290.8500000,058.410E-9,442.122E-6,001.321E+3,001.321E+3,258.277E-6
1n4148-1,593.600E-3,545.800E-6,18.0000000,291.1500000,059.360E-9,545.741E-6,001.088E+3,001.088E+3,323.987E-6
1n4148-1,597.900E-3,600.800E-6,17.9000000,291.0500000,059.790E-9,600.740E-6,995.272E+0,995.173E+0,359.218E-6
1n4148-1,606.000E-3,717.880E-6,18.1000000,291.2500000,060.600E-9,717.819E-6,844.223E+0,844.152E+0,435.035E-6
1n4148-1,613.200E-3,841.240E-6,17.9000000,291.0500000,061.320E-9,841.179E-6,728.977E+0,728.924E+0,515.848E-6
1n4148-1,619.800E-3,997.740E-6,18.0000000,291.1500000,061.980E-9,997.678E-6,621.243E+0,621.204E+0,618.399E-6
1n4148-1,625.800E-3,001.110E-3,18.0000000,291.1500000,062.580E-9,001.110E-3,563.704E+0,563.672E+0,694.776E-6
1n4148-1,631.300E-3,001.250E-3,18.1000000,291.2500000,063.130E-9,001.250E-3,504.876E+0,504.850E+0,789.422E-6
1n4148-1,641.200E-3,001.544E-3,17.9000000,291.0500000,064.120E-9,001.544E-3,415.289E+0,415.272E+0,990.045E-6
1n4148-1,664.500E-3,002.433E-3,17.8000000,290.9500000,066.450E-9,002.433E-3,273.150E+0,273.142E+0,001.617E-3
1n4148-1,684.100E-3,003.548E-3,17.8000000,290.9500000,068.410E-9,003.548E-3,192.817E+0,192.813E+0,002.427E-3
1n4148-1,705.300E-3,005.364E-3,18.0000000,291.1500000,070.530E-9,005.364E-3,131.485E+0,131.483E+0,003.783E-3
1n4148-1,722.600E-3,007.595E-3,18.3000000,291.4500000,072.260E-9,007.595E-3,095.142E+0,095.142E+0,005.488E-3
1n4148-1,737.700E-3,009.999E-3,18.5000000,291.6500000,073.770E-9,009.999E-3,073.778E+0,073.777E+0,007.376E-3
