i,T (Celcius),R (Ohm),Kelvin,I_Peltier,V_Peltier,P_Peltier,R_Peltier
1,16.300,14.452,289.45,0.00,0.00,0.00,0.000
2,16.400,14.455,289.55,0.00,0.00,0.00,0.000
3,16.300,14.458,289.45,0.00,0.00,0.00,0.000
4,16.400,14.462,289.55,0.00,0.00,0.00,0.000
5,16.300,14.463,289.45,0.00,0.00,0.00,0.000
6,11.400,18.380,284.55,0.26,0.80,0.21,3.077
7,11.400,18.420,284.55,0.26,0.80,0.21,3.077
8,11.400,18.510,284.55,0.26,0.80,0.21,3.077
9,11.500,18.570,284.65,0.26,0.80,0.21,3.077
10,11.400,18.850,284.55,0.26,0.80,0.21,3.077
11,9.200,20.270,282.35,0.40,1.30,0.52,3.250
12,9.200,20.270,282.35,0.40,1.30,0.52,3.250
13,9.200,20.275,282.35,0.40,1.30,0.52,3.250
14,9.200,20.280,282.35,0.40,1.30,0.52,3.250
15,9.200,20.350,282.35,0.40,1.30,0.52,3.250
16,5.800,23.970,278.95,0.62,1.90,1.18,3.065
17,5.800,23.980,278.95,0.62,1.90,1.18,3.065
18,5.800,24.020,278.95,0.62,1.90,1.18,3.065
19,5.800,24.040,278.95,0.62,1.90,1.18,3.065
20,5.800,24.100,278.95,0.62,1.90,1.18,3.065
21,1.300,28.850,274.45,0.90,2.70,2.43,3.000
22,1.500,28.850,274.65,0.90,2.70,2.43,3.000
23,1.900,29.010,275.05,0.90,2.70,2.43,3.000
24,1.600,29.090,274.75,0.90,2.70,2.43,3.000
25,1.500,29.270,274.65,0.90,2.70,2.43,3.000
26,-1.600,33.720,271.55,1.12,3.40,3.81,3.036
27,-1.600,33.730,271.55,1.12,3.40,3.81,3.036
28,-1.700,33.870,271.45,1.12,3.40,3.81,3.036
29,-1.700,33.870,271.45,1.12,3.40,3.81,3.036
30,-1.700,33.960,271.45,1.12,3.40,3.81,3.036
31,-4.000,38.250,269.15,1.33,4.00,5.32,3.008
32,-4.000,38.270,269.15,1.33,4.00,5.32,3.008
33,-4.100,38.300,269.05,1.33,4.00,5.32,3.008
34,-4.100,38.330,269.05,1.33,4.00,5.32,3.008
35,-3.900,38.380,269.25,1.33,4.00,5.32,3.008
36,-7.000,43.880,266.15,1.58,4.60,7.27,2.911
37,-7.000,43.960,266.15,1.58,4.60,7.27,2.911
38,-7.200,44.080,265.95,1.58,4.60,7.27,2.911
39,-7.000,44.210,266.15,1.58,4.60,7.27,2.911
40,-7.200,44.340,265.95,1.58,4.60,7.27,2.911
41,-12.000,54.820,261.15,2.17,6.20,13.45,2.857
42,-12.000,54.950,261.15,2.17,6.20,13.45,2.857
43,-12.000,54.980,261.15,2.17,6.20,13.45,2.857
44,-11.900,55.000,261.25,2.17,6.20,13.45,2.857
45,-12.000,55.080,261.15,2.17,6.20,13.45,2.857
